cv.TM_CCOEFF
name,min_val,max_val
im232,-3133850.25,3710953.0
im233,-3114087.5,3768277.25
im234,-3061495.75,3875993.25
im235,-3116927.75,4018530.75
im236,-3200632.25,4058526.5
im237,-3266944.75,4054629.0
im238,-3267402.25,4053473.25
im239,-3206522.0,4042579.0
im240,-3083950.5,3995256.0
im241,-3051543.0,3866054.75
im242,-3305611.0,3701999.25
im243,-3484593.0,3668037.5
im244,-3538746.25,3712192.5
im245,-3514730.25,3718659.75
im246,-3444861.75,3697965.5
im247,-3406685.25,3655495.25
im248,-3395323.0,3666796.5
im249,-3383426.5,3664465.5
im250,-3383370.25,3662970.0
im251,-3394867.5,3650157.75
im252,-3374825.25,3653425.75
im253,-3159425.0,3639577.25
im254,-3040715.25,3454964.5
im255,-2245766.75,3649123.25
im256,-2241315.75,3762844.0
im257,-2244028.25,3484541.25
im258,-2249358.5,3484275.0
im259,-2243066.5,3489286.5
im260,-2238489.75,3493761.0
im261,-2237170.5,3506719.75
im262,-2258060.5,3503754.5
im263,-2252347.25,3502182.5
im264,-2250637.5,3500574.25
im265,-2237984.0,3503074.75
im266,-2241058.5,3538425.75
im267,-2242378.0,3677326.75
im268,-2248713.75,3849023.0
im269,-2246592.0,3935297.25
im270,-2246751.5,3933203.75
im271,-2255778.75,3942066.25
im272,-2252908.5,3949400.25
im273,-2256367.25,3953910.0
im274,-2257638.75,3976343.5
im275,-2255113.5,3986441.75
im276,-2260096.25,3997446.25
im277,-2262372.0,4027765.75
im278,-2263170.0,4057843.0
im279,-2266595.0,4078541.5
im280,-2264409.75,4072889.25
im281,-2264994.0,4068301.0
im282,-2257913.25,4063585.25
im283,-2260601.0,4043959.0
im284,-2262657.25,4027700.5
im285,-2262739.75,3987255.75
im286,-2248509.5,3934742.75
im287,-2248973.75,3875038.25
im288,-2246505.75,3843567.0
im289,-2246911.75,3808248.5
im290,-2242164.0,3757109.25
im291,-2248073.75,3701923.5
im292,-2246450.5,3659318.5
im293,-2242947.5,3649747.75
im294,-2239771.25,3638982.5
im295,-2231968.5,3627040.5
im296,-2226613.75,3632896.0
im297,-2217899.0,3610904.0
im298,-2201081.0,3616741.0
im299,-2198640.25,3618544.75
im300,-2174925.5,3601330.0
im301,-2164792.5,3605137.25
im302,-2144998.5,3630319.25
im303,-2103247.0,3667315.0
im304,-1969601.875,3724053.75
im305,-1858970.375,3798277.75
im306,-1976576.125,3873381.75
im307,-2552391.25,3903409.5
im308,-3065356.25,3924826.75
im309,-3340790.75,3791767.5
im310,-3501879.75,3631556.0
im311,-3625063.0,3705468.5
im312,-3702288.75,3707309.0
im313,-3663859.5,3679489.0
im314,-3604399.0,3662983.25
im315,-3568583.75,3656952.0
im316,-3562146.75,3658071.5
im317,-3569856.0,3654389.5
im318,-3580087.75,3658828.0
im319,-3593085.5,3651756.5
im320,-3585718.5,3639204.75
im321,-3627195.5,3628571.75
im322,-3671445.5,3626703.0
im323,-3636965.0,3620931.5
im324,-3580459.5,3611290.5
im325,-3414165.25,3610131.0
im326,-3359745.25,3618625.25
im327,-3301232.0,3466470.75
im328,-3265746.5,3295909.0
im329,-2904005.0,3236492.75
im330,-2907497.25,3137135.25
im331,-2914333.25,2932688.0
im332,-2901432.75,3069011.25
im333,-2887093.5,3190557.75
im334,-2833601.25,3275358.5
im335,-2843544.0,3313645.25
im336,-2876855.25,3356038.25
im337,-2897651.5,3384996.0
im338,-2915223.75,3390213.5
im339,-2903181.75,3392285.25
im340,-2915196.5,3391986.5
im341,-2911240.0,3396260.0
im342,-2913647.25,3391023.25
im343,-2916151.25,3395308.0
im344,-2913099.0,3399520.5
im345,-2910473.0,3472686.0
im346,-2914982.75,3600656.75
im347,-2909816.0,3734598.75
im348,-2906021.5,3787676.0
im349,-2905824.0,3835111.5
im350,-2918992.5,3862534.5
im351,-2926458.5,3894860.5
im352,-2937678.25,3914268.75
im353,-2956499.25,3926592.0
im354,-2984199.25,3887352.5
im355,-2989150.0,3836862.75
im356,-3001689.25,3771307.0
im357,-3003285.5,3708678.0
im358,-2987759.25,3644810.25
im359,-2980271.0,3583797.5
im360,-2953258.25,3521373.5
im361,-2931786.5,3428961.25
im362,-2915997.75,3343329.0
im363,-2898680.5,3301705.5
im364,-3064048.0,3279876.25
im365,-3216571.0,3251197.25
im366,-3365866.25,3074076.5
im367,-3519964.75,2799731.0
im368,-3668931.75,3103545.25
im369,-3729799.0,3697926.5
im370,-3730961.0,3732542.5
im371,-3716205.5,3735805.75
im372,-3712076.5,3732380.25
im373,-3690841.0,3736802.0
im374,-3680902.25,3735644.25
im375,-3664408.5,3722425.0
im376,-3642277.25,3718118.75
im377,-3625175.75,3713955.0
im378,-3658744.5,3713449.0
im379,-3685597.75,3709144.0
im380,-3695745.5,3701539.25
im381,-3706030.75,3702934.5
im382,-3704104.5,3700195.75
im383,-3718104.0,3690066.5
im384,-3738302.25,3691654.25
im385,-3758513.0,3701908.25
im386,-3785002.0,3704636.75
im387,-3735906.0,3680258.25
im388,-3714449.5,3676323.5
im389,-3702072.0,3667984.25
im390,-3704379.25,3663581.5
im391,-3726774.5,3657648.25
im392,-3741029.25,3651091.0
im393,-3757638.0,3647622.5
im394,-3783526.5,3653644.25
im395,-3786260.75,3652413.0
im396,-3657724.5,3661607.0
im397,-3486752.0,3626383.75
im398,-3274263.25,3549375.5
im399,-2821256.25,3371128.25
im400,-2848506.0,3528780.5
im401,-2872324.25,3674892.75
im402,-2900035.75,3387631.5
im403,-2913378.0,3447831.5
im404,-2937178.75,3537119.0
im405,-2941947.0,3575582.0
im406,-2947190.5,3624765.5
im407,-2954683.5,3630933.5
im408,-2954921.5,3626562.75
im409,-2952532.0,3625944.25
im410,-2960565.0,3609323.0
im411,-2957151.0,3582882.0
im412,-2961565.75,3573537.5
im413,-2964706.5,3559425.0
im414,-2972374.25,3557679.25
im415,-2975327.0,3553857.25
im416,-2986334.0,3553414.25
im417,-2998773.75,3558897.0
im418,-3010600.0,3555235.25
im419,-3010879.0,3565265.25
im420,-3022684.75,3556785.75
im421,-3026039.5,3553337.5
im422,-3032367.0,3564379.25
im423,-3043512.0,3572168.25
im424,-3042560.5,3578938.0
im425,-3053822.75,3580553.75
im426,-3053640.0,3590071.75
im427,-3056200.5,3596603.0
im428,-3045965.5,3600975.0
im429,-3025364.75,3614236.75
im430,-3020304.0,3622199.0
im431,-3005374.25,3626199.75
im432,-2996281.0,3640006.25
im433,-2975990.5,3633247.5
im434,-2952222.0,3631263.5
im435,-2931662.25,3623317.5
im436,-2923099.25,3619320.25
im437,-2909582.25,3606798.0
im438,-2899596.5,3616213.0
im439,-2888716.75,3640222.75
im440,-2888952.75,3709452.25
im441,-2880357.25,3768227.25
im442,-2873478.0,3859989.0
im443,-2862535.75,3872495.0
im444,-2863394.0,3907959.25
